participant,item,name,rank
16,761,Terry Cummings,22
16,786,Tree Rollins,27
16,789,Truck Robinson,17
16,809,Wayne Embry,23
16,819,Willie Naulls,19
16,822,Wilt Chamberlain,45
16,823,Woody Sauldsberry,38
17,17,Allen Iverson,14
17,69,Bill Russell,7
17,134,Charles Barkley,15
17,319,Hakeem Olajuwon,11
17,385,Jerry West,13
17,443,Julius Erving,12
17,450,Kareem Abdul-Jabbar,4
17,482,Kobe Bryant,2
17,499,Larry Bird,6
17,539,Magic Johnson,3
17,578,Michael Jordan,1
17,630,Oscar Robertson,9
17,730,Shaquille O'Neal,10
17,768,Tim Duncan,8
17,822,Wilt Chamberlain,5
18,156,Clyde Drexler,4
18,234,Dominique Wilkins,9
18,252,Earl Monroe,7
18,260,Elgin Baylor,3
18,333,Isiah Thomas,11
18,361,James Worthy,6
18,416,John Havlicek,5
18,443,Julius Erving,1
18,603,Moses Malone,2
18,630,Oscar Robertson,10
18,805,Walt Frazier,8
19,69,Bill Russell,3
19,260,Elgin Baylor,15
19,319,Hakeem Olajuwon,11
19,385,Jerry West,10
19,416,John Havlicek,14
19,450,Kareem Abdul-Jabbar,2
19,482,Kobe Bryant,9
19,499,Larry Bird,6
19,513,LeBron James,4
19,539,Magic Johnson,5
19,578,Michael Jordan,1
19,603,Moses Malone,16
19,630,Oscar Robertson,12
19,730,Shaquille O'Neal,13
19,768,Tim Duncan,7
19,822,Wilt Chamberlain,8
20,72,Billy Cunningham,23
20,78,Bob Dandridge,6
20,82,Bob Lanier,22
20,83,Bob Love,1
20,110,Buck Williams,15
20,138,Chet Walker,8
20,161,Connie Hawkins,24
20,189,Dave DeBusschere,17
20,227,Dick Van Arsdale,27
20,232,Dolph Schayes,26
20,253,Ed Macauley,33
20,284,Gail Goodrich,20
20,316,Gus Johnson,13
20,317,Gus Williams,14
20,342,Jack Twyman,29
20,385,Jerry West,37
20,392,Jim Pollard,32
20,428,Johnny Green,16
20,443,Julius Erving,3
20,449,K. C. Jones,11
20,523,Lonnie Shelton,31
20,525,Lou Hudson,7
20,532,Lucius Allen,34
20,552,Mark Aguirre,10
20,556,Marques Johnson,5
20,564,Maurice Lucas,2
20,565,Maurice Stokes,30
20,583,Micheal Ray Richardson,9
20,607,Nate Archibald,4
20,647,Pete Maravich,36
20,648,Phil Chenier,35
20,660,Ralph Sampson,18
20,700,Rolando Blackman,12
20,736,Sidney Moncrief,21
20,805,Walt Frazier,38
20,807,Walter Davis,19
20,812,Wes Unseld,25
20,823,Woody Sauldsberry,28
21,17,Allen Iverson,17
21,69,Bill Russell,7
21,134,Charles Barkley,19
21,156,Clyde Drexler,22
21,194,David Robinson,12
21,230,Dirk Nowitzki,15
21,234,Dominique Wilkins,21
21,319,Hakeem Olajuwon,13
21,333,Isiah Thomas,14
21,385,Jerry West,18
21,423,John Stockton,26
21,443,Julius Erving,16
21,450,Kareem Abdul-Jabbar,1
21,451,Karl Malone,2
21,470,Kevin Garnett,20
