participant,itemA,itemB,recognizedA,recognizedB,aLarger,choiceA
120,53,122,0,0,1,1
120,133,10,0,0,0,1
120,6,124,0,0,1,0
120,35,67,0,0,1,1
121,22,114,0,0,1,1
121,44,63,0,0,1,1
121,98,24,1,0,0,1
121,100,118,0,0,1,0
121,38,42,0,0,1,0
121,4,32,1,0,1,1
121,54,40,0,1,0,0
121,149,12,0,0,0,0
121,83,19,0,0,0,0
121,119,148,0,0,1,1
121,82,49,0,0,0,0
121,146,131,0,0,0,1
121,99,111,0,0,1,1
121,104,3,0,1,0,0
121,90,91,0,1,1,0
121,5,75,1,0,1,1
121,59,140,0,0,1,0
121,51,78,1,1,1,0
121,135,115,0,0,0,0
121,45,71,0,0,1,1
121,69,23,0,0,0,1
121,50,34,1,1,0,0
121,66,85,0,0,1,1
121,92,46,0,0,0,1
121,113,31,0,0,0,0
121,141,30,0,0,0,1
121,136,68,0,0,0,1
121,103,108,0,0,1,1
121,106,47,0,0,0,1
121,109,144,0,0,1,0
121,52,48,0,0,0,0
121,147,60,0,0,0,0
121,143,20,0,0,0,1
121,87,129,0,0,1,1
121,95,7,1,1,0,1
121,58,107,1,0,1,1
121,137,8,0,0,0,0
121,97,96,0,0,0,1
121,62,110,0,0,1,1
121,139,33,0,0,0,0
121,120,9,0,0,0,0
121,17,142,0,0,1,1
121,25,84,0,0,1,0
121,26,74,1,0,1,1
121,73,41,1,1,0,1
121,138,37,0,0,0,0
121,29,64,0,0,1,1
121,55,132,0,0,1,0
121,127,130,0,0,1,1
121,72,27,1,0,0,1
121,126,117,0,0,0,0
121,76,77,0,0,1,1
121,112,101,0,0,0,1
121,128,21,0,0,0,1
121,56,61,0,0,1,0
121,150,1,0,1,0,0
121,14,89,1,0,1,1
121,11,43,0,1,1,0
121,39,81,0,0,1,1
121,102,94,0,0,0,0
121,36,145,1,0,1,1
121,125,123,0,0,0,0
121,88,57,0,0,0,1
121,105,13,0,0,0,0
121,28,80,0,0,1,1
121,15,18,0,0,1,0
121,16,65,0,0,1,1
121,79,2,0,1,0,0
121,86,93,0,0,1,0
121,121,134,0,0,1,0
121,116,70,0,0,0,0
121,53,122,0,0,1,0
121,133,10,0,0,0,0
121,6,124,0,0,1,1
121,35,67,0,0,1,0
122,22,114,0,0,1,0
122,44,63,0,1,1,1
122,98,24,1,0,0,1
122,100,118,0,0,1,0
122,38,42,0,1,1,0
122,4,32,1,1,1,1
122,54,40,0,1,0,0
122,149,12,0,0,0,1
122,83,19,0,0,0,0
122,119,148,0,0,1,1
122,82,49,0,0,0,0
122,146,131,0,0,0,1
122,99,111,0,0,1,1
122,104,3,0,1,0,0
122,90,91,0,1,1,0
122,5,75,1,0,1,1
122,59,140,0,0,1,0
122,51,78,0,0,1,0
122,135,115,0,0,0,0
122,45,71,0,0,1,1
122,69,23,0,0,0,1
122,50,34,0,1,0,0
122,66,85,0,0,1,1
122,92,46,0,0,0,1
122,113,31,0,0,0,0
122,141,30,0,0,0,0
122,136,68,1,0,0,1
122,103,108,0,0,1,0
122,106,47,1,0,0,1
122,109,144,0,0,1,0
122,52,48,0,0,0,0
122,147,60,0,0,0,0
122,143,20,0,0,0,1
122,87,129,0,0,1,1
122,95,7,0,0,0,0
122,58,107,0,0,1,0
122,137,8,0,0,0,0
122,97,96,0,0,0,1
122,62,110,0,0,1,1
122,139,33,0,0,0,0
122,120,9,0,0,0,0
122,17,142,1,0,1,1
122,25,84,0,0,1,0
122,26,74,1,0,1,1
122,73,41,0,0,0,1
122,138,37,0,0,0,1
122,29,64,0,0,1,0
122,55,132,0,0,1,1
122,127,130,0,0,1,0
122,72,27,0,0,0,1
122,126,117,0,0,0,0
122,76,77,0,0,1,1
122,112,101,0,0,0,1
122,128,21,0,0,0,0
122,56,61,0,0,1,0
122,150,1,0,1,0,0
122,14,89,0,0,1,1
122,11,43,0,1,1,0
122,39,81,0,0,1,0
122,102,94,0,0,0,0
122,36,145,0,0,1,1
122,125,123,0,0,0,1
122,88,57,0,0,0,0
122,105,13,0,0,0,0
122,28,80,0,0,1,1
122,15,18,0,1,1,1
122,16,65,0,0,1,1
122,79,2,0,1,0,0
122,86,93,0,0,1,0
122,121,134,0,0,1,0
122,116,70,0,0,0,1
122,53,122,0,0,1,1
122,133,10,0,0,0,1
122,6,124,0,0,1,0
122,35,67,0,0,1,1
123,58,125,0,0,1,0
123,20,97,0,1,1,0
123,18,68,1,0,1,1
123,99,121,0,0,1,0
123,81,145,0,0,1,0
123,6,134,1,1,1,1
123,90,149,0,0,1,0
123,32,51,0,0,1,0
123,117,84,0,0,0,0
123,128,114,0,0,0,0
123,148,85,0,1,0,0
123,39,138,0,1,1,0
123,23,120,1,1,1,1
123,115,95,1,1,0,1
123,19,33,1,0,1,1
