participant,itemA,itemB,recognizedA,recognizedB,aLarger
13,39,34,1,0,0
13,51,66,1,0,1
13,10,15,1,0,1
13,18,28,1,0,1
13,98,65,1,0,0
13,57,56,1,0,0
13,94,27,1,0,0
13,70,6,1,0,0
13,31,59,1,0,1
13,100,61,1,0,0
13,45,90,1,0,1
13,82,91,1,0,1
13,89,50,1,0,0
13,67,72,1,0,1
13,73,16,1,0,0
13,19,52,1,0,1
13,12,58,1,0,1
13,37,5,1,0,0
13,35,76,1,0,1
13,29,24,1,0,0
13,63,7,1,0,0
13,60,20,1,0,0
13,2,13,1,0,1
13,80,53,1,0,0
13,96,42,1,0,0
13,54,40,1,0,0
13,79,85,1,0,1
13,83,43,1,0,0
13,49,44,1,0,0
13,48,21,1,0,0
13,74,4,1,0,0
13,38,23,1,0,0
13,25,36,1,0,1
13,8,14,1,0,1
13,78,30,1,0,0
13,84,81,1,0,0
13,26,9,1,0,0
13,75,86,1,0,1
13,97,95,1,0,1
13,62,71,1,0,1
13,64,47,1,0,0
13,77,1,0,1,0
13,17,69,1,0,1
13,92,11,1,0,0
13,32,33,1,0,1
13,87,88,1,0,1
13,46,22,1,0,0
13,93,41,1,0,0
14,3,55,0,0,1
14,99,68,0,0,0
14,39,34,0,1,0
14,51,66,1,1,1
14,15,10,0,0,0
14,28,18,0,0,0
14,65,98,0,0,1
14,57,56,0,0,0
14,27,94,1,1,1
14,6,70,0,1,1
14,31,59,0,1,1
14,61,100,0,1,1
14,45,90,1,1,1
14,91,82,0,1,0
14,50,89,0,1,1
14,72,67,0,0,0
14,73,16,0,0,0
14,19,52,0,1,1
14,58,12,0,1,0
14,5,37,1,0,1
14,35,76,0,0,1
14,29,24,1,1,0
14,63,7,0,1,0
14,20,60,0,0,1
14,13,2,0,0,0
14,53,80,0,1,1
14,96,42,0,0,0
14,54,40,0,0,0
14,85,79,0,0,0
14,43,83,0,1,1
14,49,44,1,1,0
14,48,21,1,1,0
14,4,74,0,1,1
14,23,38,1,1,1
14,36,25,0,0,0
14,8,14,1,1,1
14,78,30,0,1,0
14,84,81,0,0,0
14,9,26,1,1,1
14,75,86,1,0,1
14,95,97,1,0,0
14,62,71,0,1,1
14,64,47,0,1,0
14,1,77,0,0,1
14,17,69,0,1,1
14,11,92,0,0,1
14,33,32,0,1,0
14,87,88,1,1,1
14,46,22,1,1,0
14,93,41,1,1,0
15,3,55,1,0,1
15,68,99,0,1,1
15,34,39,0,1,1
15,66,51,1,0,0
15,10,15,0,1,1
15,18,28,0,1,1
15,98,65,1,0,0
15,57,56,1,0,0
15,94,27,0,1,0
15,70,6,0,1,0
15,31,59,0,1,1
15,100,61,0,1,0
15,45,90,1,0,1
15,91,82,1,0,0
15,89,50,0,1,0
15,67,72,0,1,1
15,16,73,0,1,1
15,52,19,0,1,0
15,58,12,1,0,0
15,37,5,0,1,0
15,76,35,1,0,0
15,24,29,1,0,1
15,63,7,1,0,0
15,60,20,0,1,0
15,2,13,1,0,1
15,80,53,0,1,0
15,96,42,1,0,0
15,40,54,1,0,1
15,85,79,1,0,0
15,83,43,0,1,0
15,44,49,0,1,1
15,21,48,1,0,1
15,74,4,1,0,0
15,23,38,1,0,1
15,25,36,0,0,1
15,14,8,0,1,0
15,30,78,1,0,1
15,81,84,0,1,1
15,9,26,1,0,1
15,86,75,1,0,0
15,97,95,1,0,1
15,71,62,1,0,0
15,47,64,1,0,1
15,77,1,0,1,0
15,69,17,0,1,0
15,92,11,1,0,0
15,33,32,1,0,0
15,88,87,1,0,0
15,22,46,1,0,1
15,41,93,0,1,1
16,55,3,0,1,0
16,68,99,0,1,1
16,39,34,0,1,0
16,66,51,0,1,0
16,10,15,1,0,1
16,18,28,1,0,1
16,98,65,0,1,0
16,57,56,1,0,0
16,94,27,1,0,0
16,70,6,1,0,0
16,59,31,1,0,0
16,100,61,0,1,0
16,90,45,0,1,0
16,82,91,0,1,1
16,89,50,0,1,0
16,67,72,1,0,1
16,16,73,1,0,1
16,52,19,0,1,0
16,12,58,0,1,1
16,37,5,1,0,0
16,35,76,1,0,1
16,29,24,0,1,0
16,63,7,0,1,0
16,60,20,1,0,0
16,2,13,1,0,1
16,80,53,0,1,0
16,42,96,1,0,1
16,40,54,1,0,1
16,85,79,0,1,0
16,83,43,1,0,0
16,44,49,0,1,1
16,21,48,0,1,1
16,74,4,0,1,0
16,38,23,1,0,0
16,25,36,0,1,1
16,8,14,1,0,1
16,30,78,1,0,1
16,81,84,0,1,1
16,26,9,0,1,0
16,86,75,0,1,0
16,97,95,1,0,1
16,71,62,0,1,0
16,47,64,0,1,1
16,77,1,0,1,0
16,69,17,1,0,0
16,92,11,0,1,0
16,32,33,0,1,1
16,88,87,1,0,0
16,22,46,0,1,1
16,41,93,1,0,1
17,3,55,1,1,1
17,99,68,1,1,0
17,34,39,1,1,1
17,51,66,1,1,1
17,10,15,1,1,1
17,18,28,1,1,1
17,65,98,1,0,1
17,57,56,1,1,0
17,27,94,1,1,1
17,6,70,1,1,1
17,59,31,1,1,0
17,61,100,1,1,1
17,90,45,1,1,0
17,91,82,1,1,0
17,89,50,1,1,0
17,72,67,1,1,0
17,16,73,1,1,1
17,19,52,1,1,1
17,12,58,1,1,1
17,5,37,1,1,1
17,76,35,1,1,0
17,24,29,1,1,1
17,7,63,1,1,1
17,20,60,1,1,1
17,2,13,1,1,1
17,53,80,1,1,1
17,42,96,1,1,1
17,40,54,1,1,1
17,85,79,1,0,0
17,43,83,1,1,1
17,49,44,1,1,0
17,21,48,1,1,1
17,4,74,1,1,1
17,23,38,1,1,1
17,25,36,1,1,1
17,14,8,1,1,0
17,30,78,1,0,1
17,81,84,1,1,1
17,26,9,1,1,0
17,75,86,1,1,1
17,97,95,1,0,1
17,62,71,1,1,1
17,47,64,1,1,1
17,1,77,1,1,1
17,17,69,1,1,1
17,11,92,1,1,1
17,33,32,1,1,0
17,88,87,1,1,0
17,22,46,1,1,1
17,41,93,1,0,1
18,3,55,1,0,1
18,68,99,0,0,1
18,34,39,1,1,1
18,66,51,1,0,0
18,10,15,1,0,1
18,18,28,1,0,1
