participant,itemA,itemB,recognizedA,recognizedB,aLarger
20,17,56,1,0,1
20,73,58,1,0,0
20,98,6,1,0,0
20,3,85,1,0,1
20,4,32,1,1,1
20,13,51,1,1,1
20,43,39,1,0,0
20,87,61,1,1,0
20,67,29,0,0,0
20,74,59,1,0,0
20,40,81,1,1,1
20,64,68,0,0,1
20,8,90,1,0,1
20,1,24,1,1,1
20,18,80,1,0,1
20,35,48,1,1,1
20,55,93,0,0,1
20,34,69,1,0,1
20,27,70,0,0,1
20,12,75,1,0,1
20,23,82,1,0,1
20,2,50,1,0,1
20,25,72,1,1,1
20,5,49,1,1,1
20,37,52,1,1,1
20,42,45,1,1,1
20,99,76,1,0,0
20,21,30,1,0,1
20,44,78,1,1,1
20,92,66,0,0,0
20,47,100,0,0,1
21,26,14,1,1,0
21,9,83,1,0,1
21,94,15,0,0,0
21,86,7,0,0,0
21,41,77,1,0,1
21,95,31,1,0,0
21,19,60,1,0,1
21,91,62,0,0,0
21,57,97,1,0,1
21,33,20,1,0,0
21,71,46,0,0,0
21,96,54,1,0,0
21,36,22,1,0,0
21,84,65,0,0,0
21,79,38,1,0,0
21,63,28,0,0,0
21,11,88,0,0,1
21,16,53,1,1,1
21,89,10,0,0,0
21,17,56,1,0,1
21,73,58,1,0,0
21,98,6,0,0,0
21,3,85,1,0,1
21,32,4,1,0,0
21,51,13,1,1,0
21,43,39,1,0,0
21,87,61,1,1,0
21,67,29,1,0,0
21,74,59,1,0,0
21,40,81,1,0,1
21,64,68,1,0,1
21,8,90,1,0,1
21,1,24,1,0,1
21,18,80,1,0,1
21,48,35,1,1,0
21,55,93,1,0,1
21,34,69,1,0,1
21,27,70,0,0,1
21,12,75,1,1,1
21,23,82,1,0,1
21,2,50,1,0,1
21,72,25,1,1,0
21,5,49,1,1,1
21,52,37,1,1,0
21,42,45,1,1,1
21,99,76,1,0,0
21,21,30,1,0,1
21,44,78,1,0,1
21,66,92,0,0,1
21,47,100,0,0,1
22,26,14,1,1,0
22,9,83,1,1,1
22,15,94,0,0,1
22,86,7,1,0,0
22,41,77,1,0,1
22,31,95,0,0,1
22,19,60,1,0,1
22,62,91,0,0,1
22,97,57,1,0,0
22,33,20,1,0,0
22,46,71,1,0,1
22,96,54,1,0,0
22,22,36,1,0,1
22,65,84,0,0,1
22,79,38,1,1,0
22,28,63,1,0,1
22,11,88,0,0,1
22,16,53,1,1,1
22,89,10,1,0,0
22,17,56,1,0,1
22,73,58,1,0,0
22,98,6,1,0,0
22,3,85,1,0,1
22,32,4,1,0,0
22,13,51,1,1,1
22,43,39,1,0,0
22,87,61,1,1,0
22,67,29,1,0,0
22,74,59,1,0,0
22,40,81,1,0,1
22,68,64,0,0,0
22,8,90,1,0,1
22,1,24,1,1,1
22,18,80,1,0,1
22,35,48,1,1,1
22,55,93,1,0,1
22,34,69,1,0,1
22,27,70,0,0,1
22,12,75,1,0,1
22,23,82,1,0,1
22,2,50,1,0,1
22,25,72,1,1,1
22,5,49,1,1,1
22,37,52,1,1,1
22,42,45,1,1,1
22,99,76,1,0,0
22,21,30,1,1,1
22,78,44,1,1,0
22,66,92,1,0,1
22,100,47,0,0,0
23,26,14,1,1,0
23,9,83,1,1,1
23,94,15,1,0,0
23,86,7,1,0,0
23,41,77,1,1,1
23,95,31,1,0,0
23,19,60,1,0,1
23,91,62,0,0,0
23,57,97,1,0,1
23,33,20,1,0,0
23,71,46,1,0,0
23,96,54,1,0,0
23,22,36,1,1,1
23,65,84,0,0,1
23,79,38,1,0,0
23,28,63,1,0,1
23,11,88,0,0,1
23,16,53,1,1,1
23,89,10,1,0,0
23,17,56,1,0,1
23,73,58,1,0,0
23,98,6,1,0,0
23,3,85,1,1,1
23,4,32,1,1,1
23,13,51,1,0,1
23,43,39,1,0,0
23,87,61,1,1,0
23,67,29,1,0,0
23,74,59,1,0,0
23,40,81,1,1,1
23,64,68,1,0,1
23,8,90,1,0,1
23,1,24,1,0,1
23,18,80,1,0,1
23,48,35,1,1,0
23,55,93,1,0,1
