participant,itemA,itemB,recognizedA,recognizedB,aLarger
20,14,67,1,1,1
20,1,58,0,0,1
20,36,85,1,1,1
20,86,70,1,1,0
20,95,91,1,0,0
20,31,42,1,0,1
20,49,26,1,1,0
20,33,97,1,0,1
20,48,59,1,1,1
20,35,57,1,1,1
20,55,13,0,0,0
20,32,88,1,1,1
20,76,93,1,1,1
20,27,46,1,1,1
20,39,60,1,1,1
20,90,94,1,0,0
20,34,64,1,0,1
20,41,40,0,0,0
20,29,78,1,0,1
20,9,23,1,0,1
20,99,75,1,1,0
20,5,80,1,1,1
20,30,54,0,0,1
20,77,61,1,1,0
20,53,4,1,1,0
20,6,84,1,0,1
20,37,73,1,0,1
21,21,100,0,0,1
21,96,47,0,0,0
21,12,44,1,0,1
21,71,87,1,1,1
21,56,92,0,0,1
21,66,2,1,0,0
21,7,50,1,1,1
21,19,81,1,0,1
21,11,51,1,1,1
21,10,83,1,1,1
21,43,45,1,1,1
21,15,17,1,0,0
21,72,68,1,0,0
21,52,89,1,1,1
21,28,65,0,0,1
21,3,20,1,1,1
21,74,24,1,0,0
21,18,82,1,1,1
21,25,98,1,0,1
21,38,62,1,1,1
21,69,16,1,0,0
21,79,63,1,0,0
21,8,22,1,0,1
21,14,67,1,1,1
21,1,58,1,0,1
21,36,85,1,1,1
21,70,86,1,0,1
21,95,91,1,1,0
21,31,42,1,0,1
21,49,26,1,0,0
21,33,97,1,0,1
21,59,48,1,1,0
21,35,57,1,0,1
21,55,13,1,0,0
21,32,88,1,1,1
21,93,76,1,1,0
21,27,46,1,1,1
21,60,39,1,0,0
21,90,94,1,1,0
21,34,64,1,0,1
21,40,41,0,0,0
21,78,29,1,0,0
21,9,23,1,0,1
21,75,99,1,0,1
21,5,80,1,0,1
21,30,54,0,0,1
21,77,61,1,0,0
21,4,53,1,0,1
21,6,84,1,0,1
21,37,73,1,0,1
22,100,21,1,1,0
22,96,47,1,0,0
22,12,44,1,0,1
22,87,71,1,1,0
22,56,92,1,0,1
22,66,2,1,0,0
22,7,50,1,1,1
22,19,81,1,1,1
22,51,11,1,1,0
22,83,10,1,1,0
22,43,45,1,1,1
22,15,17,1,0,0
22,72,68,1,0,0
22,89,52,1,1,0
22,65,28,1,0,0
22,3,20,1,1,1
22,74,24,1,0,0
22,18,82,1,1,1
22,98,25,1,1,0
22,38,62,1,1,1
22,69,16,1,0,0
22,79,63,1,0,0
22,8,22,1,0,1
22,14,67,1,1,1
22,58,1,1,1,0
22,36,85,1,1,1
22,86,70,1,1,0
22,91,95,1,1,1
22,31,42,1,0,1
22,49,26,1,0,0
22,33,97,1,1,1
22,48,59,1,1,1
22,35,57,1,1,1
22,55,13,1,0,0
22,88,32,1,1,0
22,76,93,1,1,1
22,27,46,1,1,1
22,39,60,1,1,1
22,90,94,1,0,0
22,34,64,1,0,1
22,40,41,0,0,0
22,78,29,1,1,0
22,9,23,1,0,1
22,99,75,1,1,0
22,5,80,1,1,1
22,30,54,0,0,1
22,77,61,1,1,0
22,4,53,1,1,1
22,6,84,1,0,1
22,37,73,1,0,1
23,100,21,1,0,0
23,96,47,1,1,0
23,12,44,1,1,1
23,87,71,1,1,0
23,56,92,1,0,1
23,66,2,1,0,0
23,7,50,1,1,1
23,19,81,1,0,1
23,11,51,1,1,1
23,83,10,1,1,0
23,45,43,1,1,0
23,15,17,1,0,0
23,72,68,1,0,0
23,89,52,1,1,0
23,65,28,1,1,0
23,3,20,1,1,1
23,74,24,1,0,0
23,18,82,1,1,1
23,25,98,1,1,1
23,38,62,1,1,1
23,69,16,1,0,0
23,79,63,1,0,0
23,8,22,1,0,1
23,14,67,1,1,1
23,1,58,1,1,1
23,36,85,1,1,1
23,86,70,1,1,0
23,91,95,1,1,1
23,31,42,1,0,1
23,49,26,1,0,0
