environment,item,criterion,cue,cueValue
Bridges,Penang Bridge,44300.0,Cable-Stayed,0
Bridges,Penang Bridge,44300.0,Suspension,1
Bridges,Penang Bridge,44300.0,Steel,1
Bridges,Penang Bridge,44300.0,Concrete,0
Bridges,Penang Bridge,44300.0,Rail,0
Bridges,Penang Bridge,44300.0,Car,0
Bridges,Rio-Niteroi Bridge,43600.0,Toll,0
Bridges,Rio-Niteroi Bridge,43600.0,Capital,0
Bridges,Rio-Niteroi Bridge,43600.0,Guinness,0
Bridges,Rio-Niteroi Bridge,43600.0,Long,1
Bridges,Rio-Niteroi Bridge,43600.0,Viaduct,0
Bridges,Rio-Niteroi Bridge,43600.0,Box-Girder,0
Bridges,Rio-Niteroi Bridge,43600.0,Cable-Stayed,1
Bridges,Rio-Niteroi Bridge,43600.0,Suspension,1
Bridges,Rio-Niteroi Bridge,43600.0,Steel,1
Bridges,Rio-Niteroi Bridge,43600.0,Concrete,1
Bridges,Rio-Niteroi Bridge,43600.0,Rail,0
Bridges,Rio-Niteroi Bridge,43600.0,Car,0
Bridges,Bhumibol Bridge,43000.0,Toll,0
Bridges,Bhumibol Bridge,43000.0,Capital,1
Bridges,Bhumibol Bridge,43000.0,Guinness,0
Bridges,Bhumibol Bridge,43000.0,Long,0
Bridges,Bhumibol Bridge,43000.0,Viaduct,0
Bridges,Bhumibol Bridge,43000.0,Box-Girder,1
Bridges,Bhumibol Bridge,43000.0,Cable-Stayed,0
Bridges,Bhumibol Bridge,43000.0,Suspension,1
Bridges,Bhumibol Bridge,43000.0,Steel,1
Bridges,Bhumibol Bridge,43000.0,Concrete,1
Bridges,Bhumibol Bridge,43000.0,Rail,0
Bridges,Bhumibol Bridge,43000.0,Car,0
Bridges,President Bridge,42590.0,Toll,0
Bridges,President Bridge,42590.0,Capital,0
Bridges,President Bridge,42590.0,Guinness,0
Bridges,President Bridge,42590.0,Long,0
Bridges,President Bridge,42590.0,Viaduct,0
Bridges,President Bridge,42590.0,Box-Girder,1
Bridges,President Bridge,42590.0,Cable-Stayed,1
Bridges,President Bridge,42590.0,Suspension,1
Bridges,President Bridge,42590.0,Steel,1
Bridges,President Bridge,42590.0,Concrete,1
Bridges,President Bridge,42590.0,Rail,1
Bridges,President Bridge,42590.0,Car,0
Bridges,Confederation Bridge,42300.0,Toll,1
Bridges,Confederation Bridge,42300.0,Capital,0
Bridges,Confederation Bridge,42300.0,Guinness,0
Bridges,Confederation Bridge,42300.0,Long,1
Bridges,Confederation Bridge,42300.0,Viaduct,0
Bridges,Confederation Bridge,42300.0,Box-Girder,0
Bridges,Confederation Bridge,42300.0,Cable-Stayed,1
Bridges,Confederation Bridge,42300.0,Suspension,1
Bridges,Confederation Bridge,42300.0,Steel,0
Bridges,Confederation Bridge,42300.0,Concrete,1
Bridges,Confederation Bridge,42300.0,Rail,0
Bridges,Confederation Bridge,42300.0,Car,0
Bridges,Jubilee Parkway,42421.0,Toll,0
Bridges,Jubilee Parkway,42421.0,Capital,0
Bridges,Jubilee Parkway,42421.0,Guinness,0
Bridges,Jubilee Parkway,42421.0,Long,0
Bridges,Jubilee Parkway,42421.0,Viaduct,1
Bridges,Jubilee Parkway,42421.0,Box-Girder,1
Bridges,Jubilee Parkway,42421.0,Cable-Stayed,1
Bridges,Jubilee Parkway,42421.0,Suspension,1
Bridges,Jubilee Parkway,42421.0,Steel,0
Bridges,Jubilee Parkway,42421.0,Concrete,1
Bridges,Jubilee Parkway,42421.0,Rail,0
Bridges,Jubilee Parkway,42421.0,Car,0
Bridges,Novyi Saratovskiy Bridge,41860.0,Toll,0
Bridges,Novyi Saratovskiy Bridge,41860.0,Capital,0
Bridges,Novyi Saratovskiy Bridge,41860.0,Guinness,0
Bridges,Novyi Saratovskiy Bridge,41860.0,Long,0
Bridges,Novyi Saratovskiy Bridge,41860.0,Viaduct,0
Bridges,Novyi Saratovskiy Bridge,41860.0,Box-Girder,0
Bridges,Novyi Saratovskiy Bridge,41860.0,Cable-Stayed,1
Bridges,Novyi Saratovskiy Bridge,41860.0,Suspension,1
Bridges,Novyi Saratovskiy Bridge,41860.0,Steel,1
Bridges,Novyi Saratovskiy Bridge,41860.0,Concrete,1
Bridges,Novyi Saratovskiy Bridge,41860.0,Rail,0
Bridges,Novyi Saratovskiy Bridge,41860.0,Car,0
Bridges,Bali Mandara Toll Road,41700.0,Toll,1
Bridges,Bali Mandara Toll Road,41700.0,Capital,0
Bridges,Bali Mandara Toll Road,41700.0,Guinness,0
Bridges,Bali Mandara Toll Road,41700.0,Long,0
Bridges,Bali Mandara Toll Road,41700.0,Viaduct,0
Bridges,Bali Mandara Toll Road,41700.0,Box-Girder,1
Bridges,Bali Mandara Toll Road,41700.0,Cable-Stayed,1
Bridges,Bali Mandara Toll Road,41700.0,Suspension,1
Bridges,Bali Mandara Toll Road,41700.0,Steel,0
Bridges,Bali Mandara Toll Road,41700.0,Concrete,1
Bridges,Bali Mandara Toll Road,41700.0,Rail,0
Bridges,Bali Mandara Toll Road,41700.0,Car,0
Bridges,Leziria Bridge,38290.0,Toll,1
Bridges,Leziria Bridge,38290.0,Capital,1
Bridges,Leziria Bridge,38290.0,Guinness,0
Bridges,Leziria Bridge,38290.0,Long,0
Bridges,Leziria Bridge,38290.0,Viaduct,0
Bridges,Leziria Bridge,38290.0,Box-Girder,0
Bridges,Leziria Bridge,38290.0,Cable-Stayed,1
Bridges,Leziria Bridge,38290.0,Suspension,1
Bridges,Leziria Bridge,38290.0,Steel,0
Bridges,Leziria Bridge,38290.0,Concrete,1
Bridges,Leziria Bridge,38290.0,Rail,0
Bridges,Leziria Bridge,38290.0,Car,0
Bridges,San Mateo-Hayward Bridge,36959.0,Toll,1
Bridges,San Mateo-Hayward Bridge,36959.0,Capital,0
