environment,item,criterion,cue,cueValue,year
United States,Bakersfield,291553.0,Metro Station,0,2005
United States,Bakersfield,291553.0,Rail Station,1,2005
United States,Bakersfield,291553.0,Exposition Site,0,2005
United States,Bakersfield,291553.0,National Capital,0,2005
United States,New Orleans,455188.0,State Capital,0,2005
United States,New Orleans,455188.0,Sport Team,1,2005
United States,New Orleans,455188.0,Airport,1,2005
United States,New Orleans,455188.0,Metro Station,0,2005
United States,New Orleans,455188.0,Rail Station,0,2005
United States,New Orleans,455188.0,Exposition Site,1,2005
United States,New Orleans,455188.0,National Capital,0,2005
United States,Honolulu,375111.0,State Capital,1,2005
United States,Honolulu,375111.0,Sport Team,0,2005
United States,Honolulu,375111.0,Airport,1,2005
United States,Honolulu,375111.0,Metro Station,0,2005
United States,Honolulu,375111.0,Rail Station,0,2005
United States,Honolulu,375111.0,Exposition Site,0,2005
United States,Honolulu,375111.0,National Capital,0,2005
United States,Anaheim,329315.0,State Capital,0,2005
United States,Anaheim,329315.0,Sport Team,1,2005
United States,Anaheim,329315.0,Airport,0,2005
United States,Anaheim,329315.0,Metro Station,0,2005
United States,Anaheim,329315.0,Rail Station,0,2005
United States,Anaheim,329315.0,Exposition Site,0,2005
United States,Anaheim,329315.0,National Capital,0,2005
United States,Tampa,325569.0,State Capital,0,2005
United States,Tampa,325569.0,Sport Team,1,2005
United States,Tampa,325569.0,Airport,1,2005
United States,Tampa,325569.0,Metro Station,0,2005
United States,Tampa,325569.0,Rail Station,0,2005
United States,Tampa,325569.0,Exposition Site,0,2005
United States,Tampa,325569.0,National Capital,0,2005
United States,Aurora,295511.0,State Capital,0,2005
United States,Aurora,295511.0,Sport Team,0,2005
United States,Aurora,295511.0,Airport,0,2005
United States,Aurora,295511.0,Metro Station,0,2005
United States,Aurora,295511.0,Rail Station,0,2005
United States,Aurora,295511.0,Exposition Site,0,2005
United States,Aurora,295511.0,National Capital,0,2005
United States,Santa Ana,337121.0,State Capital,0,2005
United States,Santa Ana,337121.0,Sport Team,0,2005
United States,Santa Ana,337121.0,Airport,1,2005
United States,Santa Ana,337121.0,Metro Station,0,2005
United States,Santa Ana,337121.0,Rail Station,0,2005
United States,Santa Ana,337121.0,Exposition Site,0,2005
United States,Santa Ana,337121.0,National Capital,0,2005
United States,Saint Louis,352572.0,State Capital,0,2005
United States,Saint Louis,352572.0,Sport Team,1,2005
United States,Saint Louis,352572.0,Airport,1,2005
United States,Saint Louis,352572.0,Metro Station,0,2005
United States,Saint Louis,352572.0,Rail Station,1,2005
United States,Saint Louis,352572.0,Exposition Site,1,2005
United States,Saint Louis,352572.0,National Capital,0,2005
United States,Pittsburgh,316206.0,State Capital,0,2005
United States,Pittsburgh,316206.0,Sport Team,1,2005
United States,Pittsburgh,316206.0,Airport,1,2005
United States,Pittsburgh,316206.0,Metro Station,0,2005
United States,Pittsburgh,316206.0,Rail Station,1,2005
United States,Pittsburgh,316206.0,Exposition Site,0,2005
United States,Pittsburgh,316206.0,National Capital,0,2005
United States,Corpus Christi,281290.0,State Capital,0,2005
United States,Corpus Christi,281290.0,Sport Team,0,2005
United States,Corpus Christi,281290.0,Airport,1,2005
United States,Corpus Christi,281290.0,Metro Station,0,2005
United States,Corpus Christi,281290.0,Rail Station,0,2005
United States,Corpus Christi,281290.0,Exposition Site,0,2005
United States,Corpus Christi,281290.0,National Capital,0,2005
United States,Riverside,285615.0,State Capital,0,2005
United States,Riverside,285615.0,Sport Team,0,2005
United States,Riverside,285615.0,Airport,0,2005
United States,Riverside,285615.0,Metro Station,0,2005
United States,Riverside,285615.0,Rail Station,0,2005
United States,Riverside,285615.0,Exposition Site,0,2005
United States,Riverside,285615.0,National Capital,0,2005
United States,Cincinnati,331310.0,State Capital,0,2005
United States,Cincinnati,331310.0,Sport Team,1,2005
United States,Cincinnati,331310.0,Airport,0,2005
United States,Cincinnati,331310.0,Metro Station,0,2005
United States,Cincinnati,331310.0,Rail Station,0,2005
United States,Cincinnati,331310.0,Exposition Site,0,2005
United States,Cincinnati,331310.0,National Capital,0,2005
United States,Lexington,278313.0,State Capital,0,2005
United States,Lexington,278313.0,Sport Team,0,2005
United States,Lexington,278313.0,Airport,1,2005
United States,Lexington,278313.0,Metro Station,0,2005
United States,Lexington,278313.0,Rail Station,0,2005
United States,Lexington,278313.0,Exposition Site,0,2005
United States,Lexington,278313.0,National Capital,0,2005
United States,Anchorage,276863.0,State Capital,0,2005
United States,Anchorage,276863.0,Sport Team,0,2005
United States,Anchorage,276863.0,Airport,0,2005
United States,Anchorage,276863.0,Metro Station,0,2005
United States,Anchorage,276863.0,Rail Station,0,2005
United States,Anchorage,276863.0,Exposition Site,0,2005
United States,Anchorage,276863.0,National Capital,0,2005
United States,Stockton,282015.0,State Capital,0,2005
United States,Stockton,282015.0,Sport Team,0,2005
United States,Stockton,282015.0,Airport,1,2005
United States,Stockton,282015.0,Metro Station,0,2005
United States,Stockton,282015.0,Rail Station,0,2005
United States,Stockton,282015.0,Exposition Site,0,2005
United States,Stockton,282015.0,National Capital,0,2005
United States,Toledo,316970.0,State Capital,0,2005
United States,Toledo,316970.0,Sport Team,0,2005
United States,Toledo,316970.0,Airport,1,2005
United States,Toledo,316970.0,Metro Station,0,2005
United States,Toledo,316970.0,Rail Station,0,2005
United States,Toledo,316970.0,Exposition Site,0,2005
United States,Toledo,316970.0,National Capital,0,2005
United States,Saint Paul,276969.0,State Capital,1,2005
United States,Saint Paul,276969.0,Sport Team,0,2005
United States,Saint Paul,276969.0,Airport,0,2005
United States,Saint Paul,276969.0,Metro Station,0,2005
United States,Saint Paul,276969.0,Rail Station,0,2005
United States,Saint Paul,276969.0,Exposition Site,0,2005
United States,Saint Paul,276969.0,National Capital,0,2005
United States,Newark,276200.0,State Capital,0,2005
United States,Newark,276200.0,Sport Team,1,2005
United States,Newark,276200.0,Airport,1,2005
United States,Newark,276200.0,Metro Station,0,2005
United States,Newark,276200.0,Rail Station,1,2005
United States,Newark,276200.0,Exposition Site,0,2005
United States,Newark,276200.0,National Capital,0,2005
United States,Greensboro,236449.0,State Capital,0,2005
United States,Greensboro,236449.0,Sport Team,0,2005
United States,Greensboro,236449.0,Airport,1,2005
United States,Greensboro,236449.0,Metro Station,0,2005
United States,Greensboro,236449.0,Rail Station,0,2005
United States,Greensboro,236449.0,Exposition Site,0,2005
United States,Greensboro,236449.0,National Capital,0,2005
United States,Buffalo,277998.0,State Capital,0,2005
United States,Buffalo,277998.0,Sport Team,0,2005
United States,Buffalo,277998.0,Airport,1,2005
United States,Buffalo,277998.0,Metro Station,0,2005
United States,Buffalo,277998.0,Rail Station,1,2005
United States,Buffalo,277998.0,Exposition Site,0,2005
United States,Buffalo,277998.0,National Capital,0,2005
United States,Plano,250357.0,State Capital,0,2005
United States,Plano,250357.0,Sport Team,0,2005
United States,Plano,250357.0,Airport,0,2005
United States,Plano,250357.0,Metro Station,0,2005
United States,Plano,250357.0,Rail Station,0,2005
United States,Plano,250357.0,Exposition Site,0,2005
