study,subject,trial,gambleType,gain,loss,cert,tookGamble
study_1,103,64,gain_loss,16,-4.0,0,0
study_1,103,65,gain_loss,2,-3.25,0,0
study_1,103,66,gain_loss,6,-12.0,0,1
study_1,103,67,gain_loss,6,-9.75,0,0
study_1,103,68,gain_loss,2,-1.5,0,0
study_1,103,69,gain_loss,10,-2.5,0,0
study_1,103,70,gain_loss,9,-11.25,0,0
study_1,103,71,gain_loss,16,-8.0,0,1
study_1,103,72,gain_loss,14,-28.0,0,1
study_1,103,73,gain_loss,6,-11.25,0,0
study_1,103,74,gain_loss,16,-32.0,0,0
study_1,103,75,gain_loss,6,-2.25,0,1
study_1,103,76,gain_loss,8,-12.0,0,1
study_1,103,77,gain_loss,5,-3.125,0,0
study_1,103,78,gain_loss,12,-22.5,0,1
study_1,103,79,gain_loss,12,-16.5,0,0
study_1,103,80,gain_loss,2,-3.0,0,0
study_1,103,81,gain_loss,16,-18.0,0,0
study_1,103,82,gain_loss,5,-8.125,0,0
study_1,103,83,gain_loss,2,-1.0,0,0
study_1,103,84,gain_loss,6,-7.5,0,1
study_1,103,85,gain_loss,8,-8.0,0,1
study_1,103,86,gain_loss,16,-10.0,0,1
study_1,103,87,gain_loss,10,-18.75,0,1
study_1,103,88,gain_loss,8,-9.0,0,0
study_1,103,89,gain_loss,2,-2.25,0,0
study_1,103,90,gain_loss,14,-26.25,0,0
study_1,103,91,gain_loss,12,-24.0,0,0
study_1,103,92,gain_loss,16,-20.0,0,0
study_1,103,93,gain_loss,2,-3.5,0,0
study_1,103,94,gain_loss,5,-4.375,0,0
study_1,103,95,gain_loss,2,-0.75,0,0
study_1,103,96,gain_loss,12,-19.5,0,0
study_1,103,97,gain_loss,15,-13.125,0,1
study_1,103,98,gain_loss,10,-17.5,0,0
study_1,103,99,gain_loss,15,-18.75,0,0
study_1,103,100,gain_loss,16,-14.0,0,1
study_1,103,101,gain_loss,9,-18.0,0,0
study_1,103,102,gain_loss,8,-2.0,0,1
study_1,103,103,gain_loss,6,-6.75,0,0
study_1,103,104,gain_loss,9,-12.375,0,1
study_1,103,105,gain_loss,8,-6.0,0,1
study_1,103,106,gain_loss,4,-7.5,0,0
study_1,103,107,gain_loss,16,-12.0,0,0
study_1,103,108,gain_loss,10,-7.5,0,0
study_1,103,109,gain_loss,15,-16.875,0,0
study_1,103,110,gain_loss,9,-3.375,0,0
study_1,103,111,gain_loss,15,-7.5,0,1
study_1,103,112,gain_loss,4,-1.0,0,1
study_1,103,113,gain_loss,9,-15.75,0,0
study_1,103,114,gain_loss,12,-12.0,0,0
study_1,103,115,gain_loss,5,-5.0,0,0
study_1,103,116,gain_loss,4,-8.0,0,0
study_1,103,117,gain_loss,9,-4.5,0,0
study_1,103,118,gain_loss,12,-6.0,0,0
study_1,103,119,gain_loss,5,-1.25,0,1
study_1,103,120,gain_loss,6,-9.0,0,1
study_1,103,121,gain_loss,2,-1.25,0,0
study_1,103,122,gain_loss,8,-15.0,0,0
study_1,103,123,gain_loss,10,-11.25,0,0
study_1,103,124,gain_loss,10,-10.0,0,0
study_1,103,125,gain_loss,12,-18.0,0,0
study_1,103,126,gain_loss,16,-16.0,0,0
study_1,103,127,gain_loss,4,-3.5,0,0
study_1,103,128,gain_loss,8,-11.0,0,1
study_1,103,129,gain_loss,14,-3.5,0,1
study_1,103,130,gain_loss,16,-6.0,0,1
study_1,103,131,gain_loss,2,-2.75,0,1
study_1,103,132,gain_loss,14,-10.5,0,0
study_1,103,133,gain_loss,12,-3.0,0,0
study_1,103,134,gain_loss,12,-15.0,0,0
study_1,103,135,gain_loss,5,-2.5,0,0
study_1,103,136,gain_loss,8,-5.0,0,1
study_1,103,137,gain_loss,5,-1.875,0,1
study_1,103,138,gain_loss,16,-30.0,0,1
study_1,103,139,gain_loss,10,-15.0,0,0
study_1,103,140,gain_loss,5,-10.0,0,0
study_1,103,141,gain_loss,8,-4.0,0,0
study_1,103,142,gain_loss,12,-4.5,0,1
study_1,103,143,gain_loss,4,-6.5,0,0
study_1,103,144,gain_loss,4,-7.0,0,0
study_1,103,145,gain_loss,15,-22.5,0,0
study_1,103,146,gain_loss,2,-1.75,0,0
study_1,103,147,gain_loss,6,-10.5,0,0
study_1,103,148,gain_loss,15,-15.0,0,1
study_1,103,149,gain_loss,8,-16.0,0,0
study_1,103,150,gain_loss,4,-2.5,0,1
study_1,103,151,gain_loss,12,-9.0,0,0
study_1,103,152,gain_loss,8,-7.0,0,1
study_1,103,153,gain_loss,8,-10.0,0,1
study_1,103,154,gain_loss,15,-5.625,0,0
study_1,103,155,gain_loss,15,-3.75,0,1
study_1,103,156,gain_loss,9,-6.75,0,0
study_1,103,157,gain_loss,9,-16.875,0,1
study_1,103,158,gain_loss,15,-11.25,0,0
study_1,103,159,gain_loss,4,-1.5,0,0
study_1,103,160,gain_loss,10,-16.25,0,0
study_1,103,161,gain_loss,12,-10.5,0,1
study_1,103,162,gain_loss,8,-14.0,0,0
study_1,103,163,gain_loss,4,-2.0,0,1
study_1,103,164,gain_loss,10,-8.75,0,0
