participant,horizon,environment,environmentCode,game,trial,choice,reward
1,16,neutral,A1-B1,26,5,1,0
1,16,neutral,A1-B1,26,6,2,0
1,16,neutral,A1-B1,26,7,2,0
1,16,neutral,A1-B1,26,8,1,0
1,16,neutral,A1-B1,26,9,2,0
1,16,neutral,A1-B1,26,10,2,0
1,16,neutral,A1-B1,26,11,1,0
1,16,neutral,A1-B1,26,12,2,0
1,16,neutral,A1-B1,26,13,2,0
1,16,neutral,A1-B1,26,14,1,0
1,16,neutral,A1-B1,26,15,2,0
1,16,neutral,A1-B1,26,16,2,0
1,16,neutral,A1-B1,27,1,1,0
1,16,neutral,A1-B1,27,2,1,1
1,16,neutral,A1-B1,27,3,1,1
1,16,neutral,A1-B1,27,4,1,1
1,16,neutral,A1-B1,27,5,1,1
1,16,neutral,A1-B1,27,6,1,1
1,16,neutral,A1-B1,27,7,1,1
1,16,neutral,A1-B1,27,8,1,0
1,16,neutral,A1-B1,27,9,2,1
1,16,neutral,A1-B1,27,10,2,1
1,16,neutral,A1-B1,27,11,2,0
1,16,neutral,A1-B1,27,12,1,1
1,16,neutral,A1-B1,27,13,1,1
1,16,neutral,A1-B1,27,14,1,1
1,16,neutral,A1-B1,27,15,1,1
1,16,neutral,A1-B1,27,16,2,0
1,16,neutral,A1-B1,28,1,1,1
1,16,neutral,A1-B1,28,2,1,1
1,16,neutral,A1-B1,28,3,1,1
1,16,neutral,A1-B1,28,4,1,1
1,16,neutral,A1-B1,28,5,1,1
1,16,neutral,A1-B1,28,6,1,1
1,16,neutral,A1-B1,28,7,1,1
1,16,neutral,A1-B1,28,8,1,1
1,16,neutral,A1-B1,28,9,1,1
1,16,neutral,A1-B1,28,10,1,1
1,16,neutral,A1-B1,28,11,1,1
1,16,neutral,A1-B1,28,12,1,1
1,16,neutral,A1-B1,28,13,1,1
1,16,neutral,A1-B1,28,14,1,0
1,16,neutral,A1-B1,28,15,2,1
1,16,neutral,A1-B1,28,16,2,1
1,16,neutral,A1-B1,29,1,2,0
1,16,neutral,A1-B1,29,2,2,0
1,16,neutral,A1-B1,29,3,2,0
1,16,neutral,A1-B1,29,4,2,1
1,16,neutral,A1-B1,29,5,2,0
1,16,neutral,A1-B1,29,6,1,1
1,16,neutral,A1-B1,29,7,1,1
1,16,neutral,A1-B1,29,8,1,1
1,16,neutral,A1-B1,29,9,1,0
1,16,neutral,A1-B1,29,10,2,0
1,16,neutral,A1-B1,29,11,2,1
1,16,neutral,A1-B1,29,12,2,0
1,16,neutral,A1-B1,29,13,2,1
1,16,neutral,A1-B1,29,14,2,0
1,16,neutral,A1-B1,29,15,1,1
1,16,neutral,A1-B1,29,16,1,0
1,16,neutral,A1-B1,30,1,2,1
1,16,neutral,A1-B1,30,2,2,1
1,16,neutral,A1-B1,30,3,2,0
1,16,neutral,A1-B1,30,4,1,1
1,16,neutral,A1-B1,30,5,1,1
1,16,neutral,A1-B1,30,6,1,1
1,16,neutral,A1-B1,30,7,1,1
1,16,neutral,A1-B1,30,8,1,1
1,16,neutral,A1-B1,30,9,1,1
1,16,neutral,A1-B1,30,10,1,1
1,16,neutral,A1-B1,30,11,1,1
1,16,neutral,A1-B1,30,12,1,1
1,16,neutral,A1-B1,30,13,1,1
1,16,neutral,A1-B1,30,14,1,1
1,16,neutral,A1-B1,30,15,1,1
1,16,neutral,A1-B1,30,16,1,1
1,16,neutral,A1-B1,31,1,1,1
1,16,neutral,A1-B1,31,2,1,0
1,16,neutral,A1-B1,31,3,2,1
1,16,neutral,A1-B1,31,4,2,1
1,16,neutral,A1-B1,31,5,2,0
1,16,neutral,A1-B1,31,6,1,0
1,16,neutral,A1-B1,31,7,2,0
1,16,neutral,A1-B1,31,8,1,0
1,16,neutral,A1-B1,31,9,2,1
1,16,neutral,A1-B1,31,10,2,1
1,16,neutral,A1-B1,31,11,2,1
1,16,neutral,A1-B1,31,12,2,0
1,16,neutral,A1-B1,31,13,1,1
