heuristic,participant,game,prediction,truth,correct
home team,17,4,0,0,1
home team,51,4,1,0,0
home team,99,4,0,0,1
home team,24,4,0,0,1
home team,14,4,0,0,1
home team,100,4,0,0,1
home team,26,4,1,0,0
home team,15,4,1,0,0
home team,59,4,0,0,1
home team,97,4,0,0,1
home team,16,4,0,0,1
home team,21,4,0,0,1
home team,28,4,1,0,0
home team,52,4,0,0,1
home team,29,4,1,0,0
home team,19,4,1,0,0
home team,18,4,0,0,1
home team,20,4,1,0,0
home team,27,4,1,0,0
home team,60,4,0,0,1
home team,53,4,0,0,1
home team,31,4,1,0,0
home team,30,4,0,0,1
home team,22,4,0,0,1
home team,54,4,0,0,1
home team,23,4,0,0,1
home team,70,5,0,0,1
home team,77,5,0,0,1
home team,76,5,0,0,1
home team,32,5,1,0,0
home team,78,5,1,0,0
home team,17,5,1,0,0
home team,71,5,0,0,1
home team,79,5,0,0,1
home team,75,5,1,0,0
home team,80,5,0,0,1
home team,33,5,0,0,1
home team,10,5,1,0,0
home team,81,5,0,0,1
home team,18,5,0,0,1
home team,24,5,0,0,1
home team,74,5,0,0,1
home team,19,5,0,0,1
home team,84,5,0,0,1
home team,63,5,0,0,1
home team,85,5,1,0,0
home team,90,5,0,0,1
home team,64,5,0,0,1
home team,72,5,0,0,1
home team,11,5,0,0,1
home team,82,5,0,0,1
home team,73,5,0,0,1
home team,34,5,0,0,1
home team,83,5,0,0,1
home team,88,5,1,0,0
home team,25,5,0,0,1
home team,67,5,0,0,1
home team,14,5,0,0,1
home team,20,5,0,0,1
home team,68,5,1,0,0
home team,37,5,1,0,0
home team,86,5,1,0,0
home team,91,5,0,0,1
home team,65,5,0,0,1
home team,87,5,0,0,1
home team,12,5,0,0,1
home team,66,5,1,0,0
home team,23,5,0,0,1
home team,35,5,1,0,0
home team,30,5,0,0,1
home team,89,5,0,0,1
home team,26,5,0,0,1
home team,31,5,0,0,1
home team,15,5,0,0,1
home team,21,5,0,0,1
home team,69,5,0,0,1
home team,38,5,0,0,1
home team,22,5,0,0,1
home team,92,5,0,0,1
home team,29,5,0,0,1
home team,1,5,0,0,1
home team,13,5,1,0,0
home team,40,5,0,0,1
home team,2,5,0,0,1
home team,36,5,0,0,1
home team,100,5,0,0,1
home team,47,5,0,0,1
home team,27,5,0,0,1
home team,4,5,1,0,0
home team,16,5,0,0,1
home team,28,5,0,0,1
home team,5,5,0,0,1
home team,39,5,0,0,1
home team,55,5,0,0,1
home team,93,5,0,0,1
home team,50,5,0,0,1
