participant,nBlocks,pennMatrices,listSort,cardSort
484,8,16.0,104.06,97.15
485,8,17.0,104.06,106.15
486,8,20.0,121.89,121.25
487,8,18.0,112.89,121.78
488,8,21.0,121.89,110.55
489,8,12.0,108.06,108.49
490,8,11.0,108.06,107.98
491,8,18.0,117.39,124.39
492,8,17.0,126.18,118.69
493,8,17.0,126.18,105.74
494,8,16.0,112.89,113.53
495,8,16.0,96.99,120.61
496,8,15.0,93.9,115.21
497,8,21.0,133.93,106.28
498,8,12.0,117.39,98.12
499,8,17.0,117.39,108.63
500,8,20.0,112.89,123.42
501,8,20.0,117.39,128.62
502,8,18.0,93.9,109.47
503,8,18.0,130.38,119.52
504,8,12.0,117.39,118.5
505,8,8.0,96.99,128.6
506,8,12.0,104.06,117.19
507,8,20.0,108.06,116.94
508,8,19.0,112.89,115.72
509,8,18.0,104.06,111.93
510,8,22.0,117.39,123.06
511,8,9.0,108.06,107.15
512,8,20.0,104.06,111.51
513,8,10.0,104.06,100.0
514,8,21.0,108.06,118.53
515,8,17.0,112.89,120.45
516,8,20.0,117.39,143.94
517,8,17.0,112.89,114.3
518,8,21.0,108.06,107.03
519,8,13.0,100.43,126.71
520,8,23.0,126.18,124.48
521,8,8.0,108.06,94.98
522,8,23.0,144.5,120.58
523,8,22.0,108.06,120.16
524,8,19.0,112.89,108.63
525,8,11.0,96.99,120.38
526,8,21.0,126.18,104.73
527,8,22.0,121.89,118.53
528,8,18.0,133.93,107.52
529,8,20.0,126.18,118.33
530,4,7.0,117.39,106.9
531,8,14.0,121.89,121.2
532,8,20.0,108.06,118.18
533,8,22.0,133.93,113.47
534,8,21.0,108.06,117.92
535,8,11.0,100.43,92.5
536,8,9.0,93.9,129.69
537,8,17.0,112.89,125.89
538,8,24.0,93.9,109.59
539,8,14.0,100.43,99.6
540,8,16.0,112.89,113.37
541,8,8.0,112.89,125.21
542,8,21.0,117.39,134.69
543,8,15.0,100.43,112.93
544,8,13.0,121.89,129.6
545,8,24.0,100.43,101.14
546,8,14.0,91.07,101.0
547,8,21.0,96.99,116.45
548,8,12.0,117.39,122.12
549,8,22.0,130.38,119.42
550,8,16.0,104.06,121.94
551,8,7.0,104.06,85.01
552,8,16.0,108.06,111.2
553,8,21.0,100.43,143.94
554,8,19.0,100.43,119.59
