participant,trial,decision,leftStimulus,rightStimulus,rt,accuracy
5,65,1,4,6,1.602999999999998,-1
5,66,-1,3,12,0.6509999999999998,1
5,67,1,12,5,0.3710000000000022,-1
5,68,1,2,14,0.690999999999999,1
5,69,-1,14,3,6.198,-1
5,70,-1,10,16,7.010000000000005,1
5,71,1,8,11,4.3459999999999965,-1
5,72,-1,14,16,0.4309999999999974,-1
5,73,-1,6,3,1.8629999999999995,1
5,74,1,6,10,0.3699999999999974,1
5,75,1,3,1,0.3500000000000014,1
5,76,1,14,9,0.6909999999999954,-1
5,77,-1,12,7,0.901999999999994,-1
5,78,-1,8,14,1.061,1
5,79,1,8,4,0.431,-1
5,80,-1,8,15,0.6809999999999996,1
5,81,1,2,8,0.6410000000000005,1
5,82,1,7,16,0.3600000000000003,1
5,83,1,7,11,4.476000000000001,1
5,84,1,5,15,0.9909999999999995,1
5,85,1,9,15,0.9309999999999992,1
5,86,-1,14,11,6.99,-1
5,87,-1,9,7,1.4529999999999994,-1
5,88,-1,16,9,2.213000000000001,-1
5,89,1,2,15,0.5299999999999976,1
5,90,-1,3,7,1.011999999999997,1
5,91,1,14,10,0.3300000000000018,-1
5,92,-1,16,2,0.6509999999999962,-1
5,93,-1,12,4,1.0519999999999996,-1
5,94,1,6,15,1.421999999999997,1
5,95,-1,4,3,1.2219999999999942,1
5,96,-1,1,9,1.1119999999999948,1
5,97,1,5,3,0.4299999999999997,-1
5,98,1,2,12,0.7109999999999985,1
5,99,1,4,11,0.6509999999999962,1
5,100,-1,10,13,0.6709999999999994,1
5,101,1,7,1,0.4200000000000017,-1
5,102,-1,4,9,1.151999999999994,1
5,103,-1,14,6,0.7509999999999977,-1
5,104,1,2,3,0.3900000000000005,1
5,105,1,15,4,1.391999999999996,-1
5,106,1,7,10,0.3909999999999982,1
5,107,1,1,15,1.1310000000000002,1
5,108,-1,1,13,0.6409999999999982,1
5,109,1,4,13,0.3299999999999983,1
5,110,1,12,13,0.4010000000000001,-1
5,111,1,3,15,0.5310000000000001,1
5,112,-1,12,1,12.118,-1
5,113,1,10,2,7.681000000000001,-1
5,114,-1,12,9,0.4299999999999997,-1
5,115,-1,11,6,0.6709999999999994,-1
5,116,-1,1,16,1.7330000000000003,1
5,117,1,1,14,0.3500000000000014,1
5,118,1,2,9,0.4510000000000005,1
5,119,1,11,16,0.7109999999999985,1
6,1,1,4,14,17.425,1
6,2,-1,7,2,7.570999999999998,-1
6,3,1,5,11,4.938000000000002,1
6,4,-1,13,9,6.840000000000003,-1
6,5,1,10,12,2.6339999999999986,1
6,6,1,1,6,11.425999999999998,-1
6,7,-1,2,5,7.750999999999998,1
6,8,1,10,1,4.917000000000002,-1
6,9,1,1,8,4.176000000000002,1
6,10,-1,10,8,1.2719999999999985,-1
6,11,1,4,7,3.5359999999999943,1
6,12,1,5,4,9.624,-1
6,13,-1,15,16,2.083000000000002,-1
6,14,1,4,10,1.061,1
