participant,condition,conditionIndex,problem,burstPoint,burst,nPumps,problemOrder
5,p_burst_0.2,1,15,3,1,3,26
5,p_burst_0.2,1,16,1,1,1,20
5,p_burst_0.2,1,17,4,1,4,33
5,p_burst_0.2,1,18,6,1,6,34
5,p_burst_0.2,1,19,24,0,7,40
5,p_burst_0.2,1,20,11,0,7,14
5,p_burst_0.2,1,21,29,0,7,1
5,p_burst_0.2,1,22,2,1,2,4
5,p_burst_0.2,1,23,2,1,2,48
5,p_burst_0.2,1,24,21,0,7,43
5,p_burst_0.2,1,25,4,1,4,47
5,p_burst_0.2,1,26,2,1,2,25
5,p_burst_0.2,1,27,12,0,7,5
5,p_burst_0.2,1,28,19,0,8,6
5,p_burst_0.2,1,29,5,1,5,13
5,p_burst_0.2,1,30,14,0,7,23
5,p_burst_0.2,1,31,3,1,3,36
5,p_burst_0.2,1,32,4,1,4,32
5,p_burst_0.2,1,33,2,1,2,31
5,p_burst_0.2,1,34,3,1,3,8
5,p_burst_0.2,1,35,1,1,1,18
5,p_burst_0.2,1,36,7,1,7,7
5,p_burst_0.2,1,37,4,1,4,16
5,p_burst_0.2,1,38,4,1,4,41
5,p_burst_0.2,1,39,4,1,4,39
5,p_burst_0.2,1,40,5,1,5,2
5,p_burst_0.2,1,41,5,1,5,30
5,p_burst_0.2,1,42,7,1,7,46
5,p_burst_0.2,1,43,1,1,1,11
5,p_burst_0.2,1,44,1,1,1,22
5,p_burst_0.2,1,45,4,1,4,9
5,p_burst_0.2,1,46,17,0,7,19
5,p_burst_0.2,1,47,1,1,1,10
5,p_burst_0.2,1,48,4,1,4,17
5,p_burst_0.2,1,49,13,0,7,49
5,p_burst_0.2,1,50,1,1,1,42
6,p_burst_0.1,0,1,1,1,1,41
6,p_burst_0.1,0,2,13,0,4,3
6,p_burst_0.1,0,3,7,0,5,17
6,p_burst_0.1,0,4,5,0,3,27
6,p_burst_0.1,0,5,18,0,5,30
6,p_burst_0.1,0,6,8,0,7,5
6,p_burst_0.1,0,7,5,0,4,49
6,p_burst_0.1,0,8,3,1,3,19
6,p_burst_0.1,0,9,1,1,1,9
6,p_burst_0.1,0,10,4,1,4,11
6,p_burst_0.1,0,11,30,0,3,48
6,p_burst_0.1,0,12,40,0,4,31
6,p_burst_0.1,0,13,2,1,2,46
6,p_burst_0.1,0,14,2,1,2,13
6,p_burst_0.1,0,15,27,0,6,20
6,p_burst_0.1,0,16,12,0,3,18
6,p_burst_0.1,0,17,19,0,5,47
6,p_burst_0.1,0,18,5,0,4,2
6,p_burst_0.1,0,19,23,0,4,36
6,p_burst_0.1,0,20,3,1,3,26
6,p_burst_0.1,0,21,1,1,1,37
6,p_burst_0.1,0,22,7,1,7,15
6,p_burst_0.1,0,23,4,1,4,40
6,p_burst_0.1,0,24,8,0,6,42
6,p_burst_0.1,0,25,17,0,4,29
6,p_burst_0.1,0,26,2,1,2,1
6,p_burst_0.1,0,27,4,1,4,43
6,p_burst_0.1,0,28,17,0,6,25
6,p_burst_0.1,0,29,5,1,5,7
6,p_burst_0.1,0,30,14,0,4,14
6,p_burst_0.1,0,31,2,1,2,12
6,p_burst_0.1,0,32,1,1,1,38
6,p_burst_0.1,0,33,15,0,6,28
6,p_burst_0.1,0,34,8,0,4,39
6,p_burst_0.1,0,35,13,0,6,21
6,p_burst_0.1,0,36,29,0,5,16
6,p_burst_0.1,0,37,16,0,5,23
6,p_burst_0.1,0,38,6,0,5,50
6,p_burst_0.1,0,39,2,1,2,35
6,p_burst_0.1,0,40,3,1,3,24
6,p_burst_0.1,0,41,21,0,4,45
6,p_burst_0.1,0,42,31,0,4,22
6,p_burst_0.1,0,43,4,1,4,6
6,p_burst_0.1,0,44,24,0,4,33
6,p_burst_0.1,0,45,21,0,5,34
6,p_burst_0.1,0,46,5,0,4,32
6,p_burst_0.1,0,47,1,1,1,10
6,p_burst_0.1,0,48,7,0,5,44
6,p_burst_0.1,0,49,4,1,4,8
6,p_burst_0.1,0,50,17,0,5,4
6,p_burst_0.2,1,1,1,1,1,41
6,p_burst_0.2,1,2,1,1,1,3
6,p_burst_0.2,1,3,8,0,3,17
6,p_burst_0.2,1,4,4,0,3,27
6,p_burst_0.2,1,5,4,1,4,30
6,p_burst_0.2,1,6,3,1,3,5
6,p_burst_0.2,1,7,5,0,4,49
6,p_burst_0.2,1,8,10,0,2,19
6,p_burst_0.2,1,9,5,0,3,9
6,p_burst_0.2,1,10,2,1,2,11
6,p_burst_0.2,1,11,1,1,1,48
6,p_burst_0.2,1,12,8,0,4,31
6,p_burst_0.2,1,13,1,1,1,46
6,p_burst_0.2,1,14,4,1,4,13
6,p_burst_0.2,1,15,3,1,3,20
6,p_burst_0.2,1,16,1,1,1,18
6,p_burst_0.2,1,17,4,1,4,47
6,p_burst_0.2,1,18,6,0,4,2
6,p_burst_0.2,1,19,24,0,3,36
6,p_burst_0.2,1,20,11,0,3,26
6,p_burst_0.2,1,21,29,0,3,37
6,p_burst_0.2,1,22,2,1,2,15
6,p_burst_0.2,1,23,2,1,2,40
6,p_burst_0.2,1,24,21,0,3,42
6,p_burst_0.2,1,25,4,0,3,29
6,p_burst_0.2,1,26,2,1,2,1
6,p_burst_0.2,1,27,12,0,3,43
6,p_burst_0.2,1,28,19,0,3,25
6,p_burst_0.2,1,29,5,0,3,7
6,p_burst_0.2,1,30,14,0,4,14
6,p_burst_0.2,1,31,3,1,3,12
6,p_burst_0.2,1,32,4,0,2,38
6,p_burst_0.2,1,33,2,1,2,28
6,p_burst_0.2,1,34,3,1,3,39
6,p_burst_0.2,1,35,1,1,1,21
6,p_burst_0.2,1,36,7,0,4,16
6,p_burst_0.2,1,37,4,0,3,23
6,p_burst_0.2,1,38,4,1,4,50
6,p_burst_0.2,1,39,4,0,3,35
6,p_burst_0.2,1,40,5,0,3,24
6,p_burst_0.2,1,41,5,1,5,45
6,p_burst_0.2,1,42,7,0,3,22
6,p_burst_0.2,1,43,1,1,1,6
6,p_burst_0.2,1,44,1,1,1,33
6,p_burst_0.2,1,45,4,0,3,34
6,p_burst_0.2,1,46,17,0,3,32
6,p_burst_0.2,1,47,1,1,1,10
6,p_burst_0.2,1,48,4,0,2,44
6,p_burst_0.2,1,49,13,0,3,8
6,p_burst_0.2,1,50,1,1,1,4
7,p_burst_0.1,0,1,1,1,1,44
7,p_burst_0.1,0,2,13,0,6,27
