participant,trial,reportIndex,report
2,8,2,Encoding
2,8,3,Decision: No justification
2,9,1,Search
2,9,2,Search
2,9,3,Search
2,9,4,Search
2,9,5,Encoding
2,9,6,Encoding
2,9,7,Encoding
2,9,8,Decision: No justification
2,10,1,Search
2,10,2,Search
2,10,3,Encoding
2,10,4,Encoding
2,10,5,Decision: No justification
2,11,1,Search
2,11,2,Search
2,11,3,Encoding
2,11,4,Encoding
2,11,5,Decision: Guess
2,12,1,Search
2,12,2,Search
2,12,3,Search
2,12,4,Encoding
2,12,5,Encoding
2,12,6,Encoding
2,12,7,Decision: Guess
2,13,1,Search
2,13,2,Search
2,13,3,Encoding
2,13,4,Encoding
2,13,5,Decision: Guess
2,14,1,Search
2,14,2,Search
2,14,3,Encoding
2,14,4,Encoding
2,14,5,Decision: No justification
2,15,1,Search
2,15,2,Search
2,15,3,Search
2,15,4,Search
2,15,5,Elaboration: Stock based
2,15,6,Decision: No justification
2,16,1,Search
2,16,2,Search
2,16,3,Search
2,16,4,Search
2,16,5,Decision: No justification
2,17,1,Search
2,17,2,Search
2,17,3,Decision: No justification
2,18,1,Search
2,18,2,Search
2,18,3,Search
2,18,4,Decision: No justification
2,19,1,Search
2,19,2,Search
2,19,3,Encoding
2,19,4,Encoding
2,19,5,Decision: No justification
2,20,1,Search
2,20,2,Search
2,20,3,Encoding
2,20,4,Decision: No justification
2,21,1,Search
2,21,2,Search
2,21,3,Search
2,21,4,Search
2,21,5,Decision: No justification
2,22,1,Search
2,22,2,Encoding
2,22,3,Decision: No justification
2,23,1,Search
2,23,2,Search
2,23,3,Encoding
2,23,4,Encoding
2,23,5,Decision: No justification
2,24,1,Search
2,24,2,Search
2,24,3,Search
2,24,4,Search
2,24,5,Encoding
2,24,6,Encoding
2,24,7,Encoding
2,24,8,Decision: No justification
2,25,1,Search
2,25,2,Search
2,25,3,Search
2,25,4,Encoding
2,25,5,Encoding
2,25,6,Encoding
2,25,7,Decision: No justification
2,26,1,Search
2,26,2,Search
2,26,3,Search
2,26,4,Search
2,26,5,Encoding
2,26,6,Encoding
2,26,7,Encoding
2,26,8,Decision: No justification
2,27,1,Search
2,27,2,Search
2,27,3,Encoding
2,27,4,Encoding
2,27,5,Decision: No justification
2,28,1,Search
2,28,2,Search
2,28,3,Search
2,28,4,Encoding
2,28,5,Encoding
2,28,6,Decision: No justification
2,29,1,Search
2,29,2,Encoding
2,29,3,Decision: No justification
2,30,1,Search
2,30,2,Search
2,30,3,Search
2,30,4,Encoding
2,30,5,Encoding
2,30,6,Encoding
2,30,7,Decision: No justification
2,31,1,Search
2,31,2,Search
2,31,3,Encoding
2,31,4,Encoding
2,31,5,Decision: No justification
2,32,1,Search
2,32,2,Search
2,32,3,Encoding
2,32,4,Encoding
2,32,5,Elaboration: Indicator based
2,32,6,Decision: No justification
2,33,1,Search
2,33,2,Search
2,33,3,Search
2,33,4,Encoding
2,33,5,Encoding
2,33,6,Encoding
2,33,7,Decision: No justification
2,34,1,Search
2,34,2,Search
2,34,3,Search
2,34,4,Encoding
2,34,5,Encoding
2,34,6,Decision: No justification
2,35,1,Search
2,35,2,Search
2,35,3,Encoding
2,35,4,Encoding
2,35,5,Encoding
2,35,6,Decision: No justification
2,36,1,Search
2,36,2,Encoding
2,36,3,Decision: No justification
2,37,1,Search
2,37,2,Search
2,37,3,Search
2,37,4,Encoding
2,37,5,Encoding
2,37,6,Decision: No justification
2,38,1,Search
2,38,2,Search
2,38,3,Decision: No justification
2,39,1,Search
2,39,2,Search
2,39,3,Search
2,39,4,Encoding
2,39,5,Encoding
2,39,6,Encoding
2,39,7,Decision: No justification
2,40,1,Search
2,40,2,Search
2,40,3,Search
2,40,4,Encoding
2,40,5,Encoding
2,40,6,Encoding
2,40,7,Decision: No justification
2,41,1,Search
2,41,2,Search
2,41,3,Search
2,41,4,Encoding
2,41,5,Encoding
2,41,6,Decision: No justification
2,42,1,Search
2,42,2,Encoding
2,42,3,Encoding
2,42,4,Decision: No justification
2,43,1,Search
2,43,2,Search
2,43,3,Encoding
2,43,4,Encoding
2,43,5,Decision: No justification
2,44,1,Search
2,44,2,Search
2,44,3,Encoding
2,44,4,Elaboration: Indicator based
2,44,5,Decision: No justification
2,45,1,Search
2,45,2,Search
2,45,3,Encoding
2,45,4,Encoding
2,45,5,Encoding
2,45,6,Decision: No justification
2,46,1,Search
2,46,2,Search
2,46,3,Search
2,46,4,Encoding
2,46,5,Encoding
2,46,6,Encoding
2,46,7,Decision: No justification
2,47,1,Encoding
2,47,2,Encoding
2,47,3,Encoding
2,47,4,Decision: No justification
2,48,1,Search
2,48,2,Search
2,48,3,Encoding
2,48,4,Encoding
2,48,5,Encoding
2,48,6,Decision: No justification
2,49,1,Encoding
2,49,2,Encoding
2,49,3,Decision: No justification
2,50,1,Search
2,50,2,Encoding
2,50,3,Encoding
2,50,4,Elaboration: Indicator based
2,50,5,Decision: No justification
2,51,1,Encoding
2,51,2,Decision: No justification
2,52,1,Search
2,52,2,Encoding
2,52,3,Encoding
2,52,4,Elaboration: Indicator based
2,52,5,Decision: No justification
2,53,1,Search
2,53,2,Encoding
2,53,3,Encoding
2,53,4,Encoding
2,53,5,Decision: No justification
2,54,1,Search
2,54,2,Encoding
2,54,3,Encoding
2,54,4,Elaboration: Indicator based
2,54,5,Decision: No justification
2,55,1,Search
2,55,2,Encoding
2,55,3,Decision: No justification
2,56,1,Encoding
2,56,2,Encoding
2,56,3,Decision: No justification
2,57,1,Encoding
2,57,2,Encoding
2,57,3,Decision: No justification
2,58,1,Search
2,58,2,Encoding
2,58,3,Encoding
2,58,4,Elaboration: Indicator based
2,58,5,Decision: No justification
2,59,1,Search
2,59,2,Encoding
2,59,3,Encoding
2,59,4,Elaboration: Indicator based
2,59,5,Decision: No justification
2,60,1,Encoding
2,60,2,Encoding
2,60,3,Elaboration: Indicator based
2,60,4,Decision: No justification
2,61,1,Encoding
2,61,2,Encoding
2,61,3,Decision: No justification
2,62,1,Encoding
2,62,2,Encoding
2,62,3,Encoding
2,62,4,Decision: No justification
2,63,1,Search
2,63,2,Encoding
2,63,3,Encoding
2,63,4,Elaboration: Indicator based
2,63,5,Decision: No justification
2,64,1,Encoding
2,64,2,Decision: No justification
2,65,1,Encoding
2,65,2,Encoding
2,65,3,Decision: No justification
2,66,1,Encoding
2,66,2,Encoding
2,66,3,Elaboration: Indicator based
2,66,4,Decision: No justification
2,67,1,Encoding
2,67,2,Encoding
2,67,3,Elaboration: Indicator based
2,67,4,Decision: No justification
2,68,1,Encoding
2,68,2,Encoding
2,68,3,Decision: No justification
2,69,1,Encoding
2,69,2,Encoding
2,69,3,Decision: No justification
2,70,1,Encoding
2,70,2,Encoding
2,70,3,Decision: No justification
2,71,1,Encoding
2,71,2,Encoding
2,71,3,Decision: No justification
2,72,1,Encoding
2,72,2,Decision: No justification
2,73,1,Encoding
2,73,2,Encoding
2,73,3,Encoding
2,73,4,Decision: No justification
2,74,1,Encoding
2,74,2,Encoding
2,74,3,Decision: No justification
2,75,1,Encoding
2,75,2,Encoding
2,75,3,Elaboration: Indicator based
2,75,4,Decision: No justification
2,76,1,Encoding
2,76,2,Encoding
2,76,3,Elaboration: Indicator based
2,76,4,Decision: No justification
2,77,1,Encoding
2,77,2,Decision: No justification
2,78,1,Encoding
2,78,2,Encoding
2,78,3,Decision: No justification
2,79,1,Encoding
2,79,2,Decision: No justification
2,80,1,Encoding
2,80,2,Encoding
2,80,3,Encoding
2,80,4,Decision: No justification
2,81,1,Encoding
