participant,trial,alternative,cue,present,searchOrderWithin,searchOrderAll,searchTime
1,114,1,1,0,1,1,1.68100000000004
1,114,2,1,1,1,2,3.127999999999929
1,115,1,1,1,1,1,1.9710000000000036
1,115,2,1,0,1,2,3.7000000000000455
1,116,1,1,1,1,1,1.3179999999999836
1,116,2,1,0,1,2,3.189000000000078
1,117,1,1,0,1,1,2.813000000000102
1,117,1,4,0,2,4,11.101000000000113
1,117,2,1,0,1,2,4.7650000000001
1,117,2,4,1,2,3,7.97199999999998
1,118,1,1,0,1,2,4.523000000000138
1,118,1,4,1,2,3,14.761999999999944
1,118,2,1,0,1,1,1.6829999999999927
1,118,2,4,1,2,4,16.289999999999964
1,119,1,1,0,1,1,1.33199999999988
1,119,1,3,0,3,6,12.491999999999962
1,119,1,4,0,2,4,6.938999999999851
1,119,2,1,0,1,2,2.7549999999998818
1,119,2,2,1,4,7,16.858999999999924
1,119,2,3,0,3,5,11.098999999999933
1,119,2,4,1,2,3,5.514999999999873
1,120,1,1,1,1,1,2.3120000000001255
1,120,1,4,0,2,3,9.016000000000076
1,120,2,1,1,1,2,4.791999999999916
1,120,2,4,1,2,4,10.976000000000113
2,1,1,1,0,1,1,9.601
2,1,2,1,0,1,2,13.767000000000001
2,2,1,1,0,1,1,5.329000000000001
2,2,2,2,0,1,2,9.011000000000003
2,3,2,1,1,1,1,7.439999999999998
2,4,1,1,0,1,2,14.953999999999994
2,4,2,2,0,1,1,9.209999999999994
2,5,1,1,1,1,1,6.249000000000009
2,6,1,1,1,1,1,5.1129999999999995
2,7,1,2,0,1,2,16.357
2,7,2,1,0,1,1,10.587999999999994
2,8,1,1,1,1,1,6.694999999999993
2,9,1,1,1,1,2,12.268
2,9,1,2,1,2,3,17.02000000000001
2,9,2,1,1,1,1,7.125
2,10,1,1,1,1,1,4.410000000000025
2,10,1,2,0,2,3,9.804000000000002
2,10,2,1,1,1,2,6.930000000000007
2,11,1,1,0,1,1,5.626999999999981
2,11,2,1,0,1,2,9.691000000000003
2,12,1,1,1,1,1,5.634999999999991
2,12,2,1,1,1,2,8.266999999999996
2,12,2,2,1,2,3,11.825999999999993
2,13,1,1,0,1,1,5.092000000000013
2,13,2,1,1,1,2,8.438000000000017
2,14,1,1,1,1,1,5.581999999999994
2,14,2,1,0,1,2,11.310999999999979
2,15,1,1,0,1,1,7.050999999999988
2,15,1,4,1,2,2,11.798999999999978
2,16,1,1,0,1,1,6.433999999999969
2,16,2,1,0,1,2,9.145999999999958
2,16,2,2,1,2,3,12.753999999999962
2,17,1,1,0,1,1,6.005999999999972
2,17,2,1,1,1,2,8.260999999999967
2,18,1,1,0,1,1,3.7350000000000136
2,18,1,2,1,2,3,10.093000000000018
2,18,2,1,0,1,2,6.03000000000003
2,19,1,1,0,1,1,3.141999999999996
2,19,2,1,1,1,2,6.961000000000013
2,20,1,1,0,1,1,6.237000000000023
2,20,2,1,1,1,2,10.076000000000022
2,21,1,1,1,1,1,5.1200000000000045
2,21,1,2,1,2,2,8.831999999999994
2,21,2,1,0,1,3,19.488
2,21,2,2,1,2,4,23.791999999999973
2,22,1,1,1,1,1,5.0989999999999895
2,23,1,1,1,1,1,4.555999999999983
2,23,2,1,0,1,2,11.258000000000038
2,24,1,1,0,1,1,3.0200000000000387
2,24,2,1,0,1,2,5.390000000000043
2,24,2,4,1,2,3,11.76600000000002
2,25,1,1,0,1,1,6.033999999999992
2,25,1,4,1,2,3,13.418999999999983
2,25,2,1,0,1,2,9.898000000000025
2,26,1,1,0,1,1,4.360000000000014
2,26,1,4,0,2,3,14.057000000000016
2,26,2,1,0,1,2,10.759999999999991
2,27,1,1,0,1,1,3.937999999999988
2,27,2,1,1,1,2,7.328999999999951
2,28,1,1,0,1,1,3.441000000000031
2,28,1,4,1,2,3,11.512
2,28,2,1,0,1,2,6.715000000000032
2,29,1,1,1,1,1,3.9119999999999777
2,30,1,1,0,1,1,4.3659999999999854
2,30,1,4,0,2,3,10.13900000000001
2,30,2,1,0,1,2,7.516999999999996
2,31,1,1,0,1,1,3.3909999999999627
2,31,2,1,1,1,2,6.534999999999968
2,32,1,1,0,1,1,3.646000000000015
2,32,1,4,0,2,3,11.988999999999976
2,32,2,1,0,1,2,7.189999999999998
2,33,1,1,0,1,1,5.3700000000000045
2,33,1,4,0,2,3,12.098999999999933
2,33,2,1,0,1,2,7.6440000000000055
2,34,1,1,0,1,1,5.13900000000001
2,34,1,4,0,2,3,11.34699999999998
2,34,2,1,0,1,2,7.700999999999908
2,35,1,1,1,1,1,5.68100000000004
2,35,2,1,1,1,2,9.625999999999976
2,35,2,2,0,2,3,13.17100000000005
2,36,1,1,0,1,1,5.005999999999972
2,37,1,1,0,1,1,5.38900000000001
2,37,1,2,0,2,3,11.475999999999999
2,37,2,1,0,1,2,8.836000000000013
2,38,1,1,1,1,1,3.630999999999972
2,38,2,1,0,1,2,7.9080000000000155
2,39,1,1,1,1,1,3.923999999999978
2,39,1,2,1,2,3,11.269000000000005
2,39,2,1,1,1,2,6.908999999999992
2,40,1,1,1,1,1,3.6340000000000146
2,40,2,1,1,1,2,6.150999999999954
2,40,2,2,1,2,3,9.718999999999937
2,41,1,1,1,1,1,7.6469999999999345
2,41,1,2,1,2,3,13.567999999999984
2,41,2,1,1,1,2,10.511999999999944
2,42,1,1,0,1,1,3.524000000000001
2,42,2,1,1,1,2,6.539999999999964
2,43,1,1,1,1,1,3.0919999999999845
2,43,1,2,0,2,2,7.603999999999928
2,44,1,1,1,1,1,4.5190000000000055
2,44,2,1,1,1,2,8.125999999999976
2,44,2,2,0,2,3,10.110000000000014
2,45,1,1,1,1,1,4.274000000000001
2,45,2,1,0,1,2,7.833999999999946
2,45,2,2,1,2,3,10.857999999999947
2,46,1,1,1,1,1,6.937000000000012
2,46,1,2,0,2,3,13.016999999999939
2,46,2,1,1,1,2,9.51400000000001
2,47,1,1,0,1,1,4.007000000000062
2,47,2,1,1,2,3,15.951999999999998
2,47,2,2,1,1,2,10.590000000000032
2,48,1,1,0,1,1,5.264999999999986
2,48,2,1,0,1,2,9.61099999999999
2,48,2,4,0,2,3,14.216000000000008
2,49,1,1,0,1,1,4.177999999999997
2,49,2,1,1,1,2,7.675999999999931
2,50,1,1,0,1,1,4.006999999999948
2,50,1,4,1,2,3,14.668999999999983
2,50,2,1,0,1,2,10.733999999999924
2,51,1,1,0,1,1,4.553999999999974
2,52,1,1,0,1,1,4.891000000000076
2,52,2,1,0,1,2,9.155000000000086
2,52,2,4,1,2,3,12.898000000000025
2,53,1,1,0,1,1,3.73599999999999
2,53,1,4,1,2,3,11.983000000000061
2,53,2,1,0,1,2,6.296000000000049
2,54,1,1,0,1,1,4.649000000000001
2,54,2,1,0,1,2,7.864000000000033
